sku;fecha;udsVenta
8;20210507;7
8;20210508;7
8;20210509;0
8;20210510;14
8;20210511;0
8;20210512;7
8;20210513;7
8;20210514;7
8;20210515;7
8;20210516;0
8;20210517;7
8;20210518;0
8;20210519;0
8;20210520;7
8;20210521;7
8;20210522;14
8;20210523;0
8;20210524;0
8;20210525;14
8;20210526;7
8;20210527;14
8;20210528;0
8;20210529;7
8;20210530;0
8;20210531;7
8;20210601;7
8;20210602;7
8;20210603;21
8;20210604;42
8;20210605;7
8;20210606;0
8;20210607;0
8;20210608;0
8;20210609;21
8;20210610;28
8;20210611;7
8;20210612;14
8;20210613;0
8;20210614;0
8;20210615;7
8;20210616;0
8;20210617;0
8;20210618;7
8;20210619;7
8;20210620;0
8;20210621;14
8;20210622;21
8;20210623;14
8;20210624;21
8;20210625;49
8;20210626;0
8;20210627;0
8;20210628;14
8;20210629;7
8;20210630;0
8;20210701;0
8;20210702;0
8;20210703;14
8;20210704;0
8;20210705;42
8;20210706;14
8;20210707;0
8;20210708;14
8;20210709;0
8;20210710;0
8;20210711;0
8;20210712;49
8;20210713;7
8;20210714;21
8;20210715;0
8;20210716;7
8;20210717;35
8;20210718;0
8;20210719;14
8;20210720;0
8;20210721;14
8;20210722;0
8;20210723;7
8;20210724;7
8;20210725;0
8;20210726;0
8;20210727;0
8;20210728;0
8;20210729;21
8;20210730;21
8;20210731;21
8;20210801;0
8;20210802;35
8;20210803;14
8;20210804;7
8;20210805;0
8;20210806;49
8;20210807;14
8;20210808;0
8;20210809;21
8;20210810;7
8;20210811;14
8;20210812;21
8;20210813;0
8;20210814;21
8;20210815;0
8;20210816;7
8;20210817;7
8;20210818;0
8;20210819;7
8;20210820;14
8;20210821;14
8;20210822;0
8;20210823;7
8;20210824;7
8;20210825;35
8;20210826;28
8;20210827;7
8;20210828;21
8;20210829;0
8;20210830;7
8;20210831;0
8;20210901;35
8;20210902;35
8;20210903;7
8;20210904;21
8;20210905;0
8;20210906;63
8;20210907;14
8;20210908;35
8;20210909;35
8;20210910;14
8;20210911;0
8;20210912;0
8;20210913;28
8;20210914;28
8;20210915;14
8;20210916;14
8;20210917;7
8;20210918;35
8;20210919;0
8;20210920;0
8;20210921;35
8;20210922;35
8;20210923;0
8;20210924;0
8;20210925;0
8;20210926;0
8;20210927;7
8;20210928;0
8;20210929;0
8;20210930;0
8;20211001;0
8;20211002;0
8;20211003;0
8;20211004;7
8;20211005;0
8;20211006;0
8;20211007;7
8;20211008;0
8;20211009;0
8;20211010;0
8;20211011;0
8;20211012;0
8;20211013;0
8;20211014;0
8;20211015;0
8;20211016;0
8;20211017;0
8;20211018;0
8;20211019;0
8;20211020;0
8;20211021;0
8;20211022;0
8;20211023;0
8;20211024;0
8;20211025;0
8;20211026;0
8;20211027;0
8;20211028;0
8;20211029;0
8;20211030;0
8;20211031;0
8;20211101;0
8;20211102;0
8;20211103;0
8;20211104;0
8;20211105;0
8;20211106;0
8;20211107;0
8;20211108;0
8;20211109;0
8;20211110;0
8;20211111;0
8;20211112;0
8;20211113;0
8;20211114;0
8;20211115;0
8;20211116;0
8;20211117;14
8;20211118;56
8;20211119;35
8;20211120;14
8;20211121;0
8;20211122;14
8;20211123;7
8;20211124;0
8;20211125;7
8;20211126;0
8;20211127;7
8;20211128;0
8;20211129;0
8;20211130;0
8;20211201;14
8;20211202;21
8;20211203;14
8;20211204;42
8;20211205;0
8;20211206;0
8;20211207;0
8;20211208;14
8;20211209;35
8;20211210;21
8;20211211;63
8;20211212;0
8;20211213;42
8;20211214;21
8;20211215;14
8;20211216;28
8;20211217;14
8;20211218;35
8;20211219;0
8;20211220;35
8;20211221;42
8;20211222;21
8;20211223;35
8;20211224;14
8;20211225;0
8;20211226;0
8;20211227;42
8;20211228;28
8;20211229;35
8;20211230;56
8;20211231;14
8;20220101;0
8;20220102;0
8;20220103;42
8;20220104;42
8;20220105;0
8;20220106;0
8;20220107;42
8;20220108;42
8;20220109;0
8;20220110;42
8;20220111;14
8;20220112;21
8;20220113;21
8;20220114;21
8;20220115;7
8;20220116;0
8;20220117;0
8;20220118;14
8;20220119;7
8;20220120;7
8;20220121;7
8;20220122;7
8;20220123;0
8;20220124;28
8;20220125;35
8;20220126;0
8;20220127;14
8;20220128;0
8;20220129;7
8;20220130;0
8;20220131;42
8;20220201;21
8;20220202;7
8;20220203;0
8;20220204;14
8;20220205;28
8;20220206;0
8;20220207;0
8;20220208;7
8;20220209;28
8;20220210;0
8;20220211;7
8;20220212;7
8;20220213;0
8;20220214;7
8;20220215;21
8;20220216;14
8;20220217;0
8;20220218;0
8;20220219;28
8;20220220;0
8;20220221;0
8;20220222;7
8;20220223;0
8;20220224;21
8;20220225;21
8;20220226;14
8;20220227;0
8;20220228;28
8;20220301;63
8;20220302;21
8;20220303;21
8;20220304;0
8;20220305;35
8;20220306;0
8;20220307;28
8;20220308;14
8;20220309;35
8;20220310;0
8;20220311;7
8;20220312;14
8;20220313;0
8;20220314;21
9;20200514;7
9;20200515;0
9;20200516;7
9;20200517;0
9;20200518;7
9;20200519;7
9;20200520;7
9;20200521;7
9;20200522;14
9;20200523;7
9;20200524;0
9;20200525;0
9;20200526;7
9;20200527;7
9;20200528;28
9;20200529;0
9;20200530;0
9;20200531;0
9;20200601;14
9;20200602;28
9;20200603;28
9;20200604;0
9;20200605;0
9;20200606;28
9;20200607;0
9;20200608;14
9;20200609;14
9;20200610;7
9;20200611;14
9;20200612;14
9;20200613;21
9;20200614;0
9;20200615;14
9;20200616;21
9;20200617;21
9;20200618;35
9;20200619;21
9;20200620;0
9;20200621;0
9;20200622;21
9;20200623;35
9;20200624;21
9;20200625;7
9;20200626;42
9;20200627;0
9;20200628;0
9;20200629;7
9;20200630;21
9;20200701;21
9;20200702;21
9;20200703;21
9;20200704;21
9;20200705;0
9;20200706;0
9;20200707;7
9;20200708;7
9;20200709;0
9;20200710;7
9;20200711;7
9;20200712;0
9;20200713;0
9;20200714;14
9;20200715;7
9;20200716;0
9;20200717;21
9;20200718;0
9;20200719;0
9;20200720;35
9;20200721;7
9;20200722;14
9;20200723;7
9;20200724;0
9;20200725;7
9;20200726;0
9;20200727;14
9;20200728;28
9;20200729;7
9;20200730;7
9;20200731;35
9;20200801;0
9;20200802;0
9;20200803;21
9;20200804;0
9;20200805;14
9;20200806;7
9;20200807;14
9;20200808;14
9;20200809;0
9;20200810;7
9;20200811;21
9;20200812;14
9;20200813;21
9;20200814;21
9;20200815;0
9;20200816;0
9;20200817;7
9;20200818;14
9;20200819;14
9;20200820;14
9;20200821;7
9;20200822;14
9;20200823;0
9;20200824;7
9;20200825;7
9;20200826;14
9;20200827;28
9;20200828;28
9;20200829;7
9;20200830;0
9;20200831;7
9;20200901;21
9;20200902;14
9;20200903;14
9;20200904;35
9;20200905;14
9;20200906;0
9;20200907;14
9;20200908;28
9;20200909;14
9;20200910;7
9;20200911;0
9;20200912;7
9;20200913;0
9;20200914;14
9;20200915;14
9;20200916;28
9;20200917;28
9;20200918;7
9;20200919;14
9;20200920;0
9;20200921;0
9;20200922;7
9;20200923;14
9;20200924;0
9;20200925;0
9;20200926;14
9;20200927;0
9;20200928;14
9;20200929;7
9;20200930;42
9;20201001;0
9;20201002;14
9;20201003;35
9;20201004;0
9;20201005;0
9;20201006;0
9;20201007;28
9;20201008;7
9;20201009;14
9;20201010;21
9;20201011;0
9;20201012;0
9;20201013;0
9;20201014;49
9;20201015;28
9;20201016;7
9;20201017;14
9;20201018;0
9;20201019;21
9;20201020;21
9;20201021;56
9;20201022;7
9;20201023;28
9;20201024;14
9;20201025;0
9;20201026;21
9;20201027;35
9;20201028;21
9;20201029;0
9;20201030;0
9;20201031;56
9;20201101;0
9;20201102;0
9;20201103;28
9;20201104;49
9;20201105;56
9;20201106;35
9;20201107;14
9;20201108;0
9;20201109;7
9;20201110;28
9;20201111;14
9;20201112;21
9;20201113;7
9;20201114;14
9;20201115;0
9;20201116;42
9;20201117;0
9;20201118;28
9;20201119;14
9;20201120;0
9;20201121;7
9;20201122;0
9;20201123;21
9;20201124;42
9;20201125;14
9;20201126;14
9;20201127;28
9;20201128;21
9;20201129;0
9;20201130;7
9;20201201;21
9;20201202;21
9;20201203;28
9;20201204;21
9;20201205;42
9;20201206;0
9;20201207;0
9;20201208;0
9;20201209;21
9;20201210;28
9;20201211;28
9;20201212;14
9;20201213;0
9;20201214;35
9;20201215;7
9;20201216;0
9;20201217;21
9;20201218;21
9;20201219;21
9;20201220;0
9;20201221;28
9;20201222;0
9;20201223;14
9;20201224;0
9;20201225;0
9;20201226;14
9;20201227;0
9;20201228;35
9;20201229;21
9;20201230;14
9;20201231;7
9;20210101;0
9;20210102;42
9;20210103;0
9;20210104;28
9;20210105;21
9;20210106;0
9;20210107;14
9;20210108;0
9;20210109;0
9;20210110;0
9;20210111;14
9;20210112;14
9;20210113;7
9;20210114;21
9;20210115;7
9;20210116;0
9;20210117;0
9;20210118;21
9;20210119;7
9;20210120;28
9;20210121;28
9;20210122;14
9;20210123;35
9;20210124;0
9;20210125;42
9;20210126;35
9;20210127;35
9;20210128;21
9;20210129;0
9;20210130;7
9;20210131;0
9;20210201;0
9;20210202;0
9;20210203;7
9;20210204;14
9;20210205;28
9;20210206;7
9;20210207;0
9;20210208;35
9;20210209;21
9;20210210;7
9;20210211;42
9;20210212;0
9;20210213;7
9;20210214;0
9;20210215;21
9;20210216;21
9;20210217;7
9;20210218;0
9;20210219;49
9;20210220;42
9;20210221;0
9;20210222;14
9;20210223;14
9;20210224;7
9;20210225;7
9;20210226;21
9;20210227;28
9;20210228;0
9;20210301;7
9;20210302;0
9;20210303;35
9;20210304;0
9;20210305;21
9;20210306;7
9;20210307;0
9;20210308;7
9;20210309;0
9;20210310;14
9;20210311;28
9;20210312;56
9;20210313;0
9;20210314;0
9;20210315;21
9;20210316;42
9;20210317;7
9;20210318;28
9;20210319;14
9;20210320;21
9;20210321;0
9;20210322;14
9;20210323;14
9;20210324;28
9;20210325;21
9;20210326;42
9;20210327;21
9;20210328;0
9;20210329;7
9;20210330;7
9;20210331;42
9;20210401;0
9;20210402;0
9;20210403;14
9;20210404;0
9;20210405;42
9;20210406;42
9;20210407;14
9;20210408;21
9;20210409;35
9;20210410;21
9;20210411;0
9;20210412;14
9;20210413;0
9;20210414;14
9;20210415;14
9;20210416;0
9;20210417;0
9;20210418;0
9;20210419;14
9;20210420;0
9;20210421;0
9;20210422;14
9;20210423;0
9;20210424;28
9;20210425;0
9;20210426;21
9;20210427;0
9;20210428;21
9;20210429;0
9;20210430;7
9;20210501;0
9;20210502;0
9;20210503;0
9;20210504;35
9;20210505;7
9;20210506;7
9;20210507;14
9;20210508;21
9;20210509;0
9;20210510;14
9;20210511;14
9;20210512;14
9;20210513;28
9;20210514;14
9;20210515;0
9;20210516;0
9;20210517;21
9;20210518;7
9;20210519;21
9;20210520;21
9;20210521;14
9;20210522;7
9;20210523;0
9;20210524;14
9;20210525;7
9;20210526;28
9;20210527;28
9;20210528;35
9;20210529;28
9;20210530;0
9;20210531;14
9;20210601;14
9;20210602;7
9;20210603;28
9;20210604;7
9;20210605;0
9;20210606;0
9;20210607;0
9;20210608;7
9;20210609;0
9;20210610;0
9;20210611;0
9;20210612;0
9;20210613;0
9;20210614;0
9;20210615;0
9;20210616;0
9;20210617;0
9;20210618;14
9;20210619;7
9;20210620;0
9;20210621;7
9;20210622;14
9;20210623;0
9;20210624;0
9;20210625;35
9;20210626;0
9;20210627;0
9;20210628;0
9;20210629;0
9;20210630;0
9;20210701;0
9;20210702;14
9;20210703;21
9;20210704;7
9;20210705;14
9;20210706;14
9;20210707;21
9;20210708;28
9;20210709;7
9;20210710;35
9;20210711;0
9;20210712;0
9;20210713;0
9;20210714;21
9;20210715;7
9;20210716;0
9;20210717;28
9;20210718;7
9;20210719;7
9;20210720;21
9;20210721;7
9;20210722;14
9;20210723;7
9;20210724;7
9;20210725;0
9;20210726;0
9;20210727;14
9;20210728;7
9;20210729;35
9;20210730;7
9;20210731;14
9;20210801;0
9;20210802;0
9;20210803;0
9;20210804;7
9;20210805;21
9;20210806;42
9;20210807;21
9;20210808;14
9;20210809;14
9;20210810;0
9;20210811;7
9;20210812;7
9;20210813;28
9;20210814;14
9;20210815;0
9;20210816;56
9;20210817;14
9;20210818;0
9;20210819;14
9;20210820;42
9;20210821;14
9;20210822;0
9;20210823;7
9;20210824;7
9;20210825;0
9;20210826;21
9;20210827;21
9;20210828;14
9;20210829;0
9;20210830;21
9;20210831;0
9;20210901;0
9;20210902;14
9;20210903;7
9;20210904;7
9;20210905;0
9;20210906;28
9;20210907;14
9;20210908;14
9;20210909;0
9;20210910;35
9;20210911;0
9;20210912;0
9;20210913;0
9;20210914;14
